id,code,type,lang,text,category
0,CO-O-*-*-O-*,CO,DE,Berater: Alles klar,Other statements
1,CO-O-*-*-O-*,CO,DE,Berater: Das wäre für mich in Ordnung,Other statements
2,CO-O-*-*-O-*,CO,DE,"Berater: Ich unterstütze Sie dabei, eine Lösung zu suchen.",Other statements
3,CO-O-*-*-O-*,CO,DE,Berater: So machen wir es,Other statements
4,CO-O-*-*-UCO-*,CO,DE,"Berater: ...hm, bin ganz irritiert, alles so still hier . Liebe Forums-User*innen, das ist ja sowas von ungewohnt, kann mich nicht erinnern, hier schon mal so eine Stille erlebt zu haben.",Other statements->Inappropriate remark
5,CO-O-*-*-UCO-*,CO,DE,"Berater: Aber der Deutsche wäre kein Deutscher, wenn es auch dafür keine Statistik gäbe.",Other statements->Inappropriate remark
6,CO-O-*-*-UCO-*,CO,DE,"Berater: dazu fällt mir ein, dass die größte Angst, die wir in uns tragen, ist die Angst vor der eigenen Kraft, die in uns steckt.",Other statements->Inappropriate remark
7,CO-O-*-*-UCO-*,CO,DE,"Berater: Es klingt so, als ob Sie zu empfindlich sind. Sie sollten lernen, Dinge einfach abzuschütteln",Other statements->Inappropriate remark
8,CO-O-*-*-UCO-*,CO,DE,"Berater: Ich an Deiner Stelle würde mich aber lieber auf andere Dinge konzentrieren, bevor Du auch noch in ein Selbstmitleidsdrama hinein fällst.",Other statements->Inappropriate remark
9,CO-O-*-*-UCO-*,CO,DE,"Berater: Ich habe ähnliche Erfahrungen gemacht, und ich bin völlig in Ordnung. Sie sollten sich keine Gedanken machen",Other statements->Inappropriate remark
10,CO-O-*-*-UCO-*,CO,DE,"Berater: Ich kenne jemanden, der in einer ähnlichen Situation war. Ich könnte Ihnen seine Kontaktdaten geben",Other statements->Inappropriate remark
11,CO-O-*-*-UCO-*,CO,DE,"Berater: Immer wenn du meinst, es geht nicht mehr, kommt von irgendwo ein Lichtlein her.",Other statements->Inappropriate remark
12,CO-O-*-*-UCO-*,CO,DE,"Berater: Jeden Abend vor dem Einschlafen an etwas Schönes denken, ist Gesundheitspflege von innen.",Other statements->Inappropriate remark
13,CO-O-*-*-UCO-*,CO,DE,Berater: Kommt Zeit kommt Rat,Other statements->Inappropriate remark
14,CO-O-*-*-UCO-*,CO,DE,"Berater: na man sagt nicht umsonst: andere Länder, andere Sitten",Other statements->Inappropriate remark
15,CO-O-*-*-UCO-*,CO,DE,Berater: Vielleicht sollten Sie einfach Ihren Job kündigen und alles hinter sich lassen. Das könnte die Lösung sein,Other statements->Inappropriate remark
16,CO-O-*-*-UCO-*,CO,DE,"Berater: Vielleicht sollten Sie einfach mehr Sport treiben, das hilft sicher gegen Ihre Stimmungsschwankungen.",Other statements->Inappropriate remark
17,CO-O-*-*-UCO-*,CO,DE,"Berater: Wenn es dir gutgeht, ist auch dein Kind froh.",Other statements->Inappropriate remark
18,CO-O-*-*-UCO-*,CO,DE,Berater: wir leben in harten Zeiten. Aber leben nicht immer alle Menschen in harten Zeiten?,Other statements->Inappropriate remark
19,CO-FA-*-*-*-*,CO,DE,"Berater: Als deine Beraterin, begrüße ich dich ganz herzlich",Formalities at the beginning/Opening of the conversation
20,CO-FA-*-*-*-*,CO,DE,Berater: Die Beratungsstelle heißt dich willkommen,Formalities at the beginning/Opening of the conversation
21,CO-FA-*-*-*-*,CO,DE,"Berater: Eben auch an dich das Angebot, wenn du irgendwelche Fragen/Anliegen/Probleme hast, dann meld dich gerne bei uns",Formalities at the beginning/Opening of the conversation
22,CO-FA-*-*-*-*,CO,DE,Berater: Gerne würde ich Ihnen im Rahmen einer Beratung weiterhelfen,Formalities at the beginning/Opening of the conversation
23,CO-FA-*-*-*-*,CO,DE,"Berater: Grüß dich, Alice.",Formalities at the beginning/Opening of the conversation
24,CO-FA-*-*-*-*,CO,DE,Berater: Guten Abend,Formalities at the beginning/Opening of the conversation
25,CO-FA-*-*-*-*,CO,DE,Berater: Guten Morgen,Formalities at the beginning/Opening of the conversation
26,CO-FA-*-*-*-*,CO,DE,"Berater: Guten Morgen, es freut mich sehr, heute deine Beraterin sein zu dürfen",Formalities at the beginning/Opening of the conversation
27,CO-FA-*-*-*-*,CO,DE,"Berater: Guten Morgen, ich stehe dir als deine Beraterin zur Verfügung",Formalities at the beginning/Opening of the conversation
28,CO-FA-*-*-*-*,CO,DE,Berater: Guten Morgen! Was kann ich für Sie tun?,Formalities at the beginning/Opening of the conversation
29,CO-FA-*-*-*-*,CO,DE,Berater: Guten Morgen! Wie kann ich Ihnen zur Seite stehen?,Formalities at the beginning/Opening of the conversation
30,CO-FA-*-*-*-*,CO,DE,Berater: Guten Tag,Formalities at the beginning/Opening of the conversation
31,CO-FA-*-*-*-*,CO,DE,Berater: Guten Tag Susanne,Formalities at the beginning/Opening of the conversation
32,CO-FA-*-*-*-*,CO,DE,"Berater: Guten Tag und danke, dass sie so mutig sind, um sich an uns zu wenden",Formalities at the beginning/Opening of the conversation
33,CO-FA-*-*-*-*,CO,DE,Berater: Guten Tag und herzlich willkommen!,Formalities at the beginning/Opening of the conversation
34,CO-FA-*-*-*-*,CO,DE,"Berater: Guten Tag, es freut mich, Sie heute beraten zu dürfen",Formalities at the beginning/Opening of the conversation
35,CO-FA-*-*-*-*,CO,DE,"Berater: Guten Tag, gerne helfe ich dir weiter",Formalities at the beginning/Opening of the conversation
36,CO-FA-*-*-*-*,CO,DE,"Berater: Guten Tag, ich danke dir im vorab für dein Vertrauen, dich an unsre Beratungsstelle zu wenden",Formalities at the beginning/Opening of the conversation
37,CO-FA-*-*-*-*,CO,DE,"Berater: Guten Tag, Sie befinden sich in der Chatberatung unserer Beratungsstelle",Formalities at the beginning/Opening of the conversation
38,CO-FA-*-*-*-*,CO,DE,"Berater: Guten Tag, wie kann ich Ihnen helfen?",Formalities at the beginning/Opening of the conversation
39,CO-FA-*-*-*-*,CO,DE,Berater: Guten Tag! Wie darf ich Ihnen heute helfen?,Formalities at the beginning/Opening of the conversation
40,CO-FA-*-*-*-*,CO,DE,Berater: Guten Tag! Wie kann ich Ihre Anliegen klären?,Formalities at the beginning/Opening of the conversation
41,CO-FA-*-*-*-*,CO,DE,Berater: Guten Tag. Ich begrüße dich bei der Beratung und freue mich dir hoffentlich weiterhelfen zu können,Formalities at the beginning/Opening of the conversation
42,CO-FA-*-*-*-*,CO,DE,"Berater: Guten Tag. Mit welchem Anliegen, darf ich Ihnen weiterhelfen?",Formalities at the beginning/Opening of the conversation
43,CO-FA-*-*-*-*,CO,DE,"Berater: Halli hallo Niklas, willkommen im Forum.",Formalities at the beginning/Opening of the conversation
44,CO-FA-*-*-*-*,CO,DE,Berater: Hallo,Formalities at the beginning/Opening of the conversation
45,CO-FA-*-*-*-*,CO,DE,Berater: Hallo :-),Formalities at the beginning/Opening of the conversation
46,CO-FA-*-*-*-*,CO,DE,Berater: Hallo Laura,Formalities at the beginning/Opening of the conversation
47,CO-FA-*-*-*-*,CO,DE,Berater: Hallo Florian :-),Formalities at the beginning/Opening of the conversation
48,CO-FA-*-*-*-*,CO,DE,Berater: Hallo Julia und sei herzlich gegrüßt.,Formalities at the beginning/Opening of the conversation
49,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo Sophie, als eine der Moderatorinnen hier im Forum möchte ich dich begrüßen",Formalities at the beginning/Opening of the conversation
50,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo Niklas, auch von mir willkommen im Forum.",Formalities at the beginning/Opening of the conversation
51,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo Julia, du hast heute das erste Mal hier im Forum gepostet, deswegen möchte ich dich herzlich begrüßen!",Formalities at the beginning/Opening of the conversation
52,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo Tobias, herzlich willkommen bei Max. Es ist schön, dass du dich mit deinen Sorgen an uns wendest und dir Hilfe suchst. Mein Name ist Laura, ich bin ein Teil des Beratungsteams und möchte dich gerne unterstützen.",Formalities at the beginning/Opening of the conversation
53,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo Lea, Herzlich willkommen hier im Forum.",Formalities at the beginning/Opening of the conversation
54,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo Tobias, Herzlich Willkommen im Forum! Schön, dass du zu uns gefunden hast.",Formalities at the beginning/Opening of the conversation
55,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo Max, ich bin Florian und grüße dich herzlichst.",Formalities at the beginning/Opening of the conversation
56,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo Max, ich bin Sophie und unterstütze gern.",Formalities at the beginning/Opening of the conversation
57,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo Tobias, ich bin Niklas, eine Beraterin vom Team und werde versuchen dir zu helfen.",Formalities at the beginning/Opening of the conversation
58,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo Max, schön dass du im Forum bist.",Formalities at the beginning/Opening of the conversation
59,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo Lena, sei herzlich willkommen hier bei uns im Forum. Ich bin Paul und moderiere hier.",Formalities at the beginning/Opening of the conversation
60,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo Florian, vielen Dank für deine Anfrage.",Formalities at the beginning/Opening of the conversation
61,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo Laura, willkommen im Forum, und danke dass Sie uns an Ihren Erfahrungen haben teilhaben lassen.",Formalities at the beginning/Opening of the conversation
62,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo Johanna, willkommen im Forum.",Formalities at the beginning/Opening of the conversation
63,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo Felix, wir freuen uns auf dich.",Formalities at the beginning/Opening of the conversation
64,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo Johanna, zuerst möchte ich dich herzlich willkommen heißen hier im Forum. Ich bin Sarah, eine der Moderatorinnen hier.",Formalities at the beginning/Opening of the conversation
65,CO-FA-*-*-*-*,CO,DE,Berater: Hallo Florian! Du hast zum ersten Mal gepostet und ich möchte Dich herzlich willkommen heißen bei uns im Forum!,Formalities at the beginning/Opening of the conversation
66,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo Max! Toll, dass du da bist",Formalities at the beginning/Opening of the conversation
67,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo Sophie! Toll, dass du hier bist",Formalities at the beginning/Opening of the conversation
68,CO-FA-*-*-*-*,CO,DE,Berater: Hallo Paul.,Formalities at the beginning/Opening of the conversation
69,CO-FA-*-*-*-*,CO,DE,Berater: Hallo Frau Felix,Formalities at the beginning/Opening of the conversation
70,CO-FA-*-*-*-*,CO,DE,Berater: Hallo liebe Niklas,Formalities at the beginning/Opening of the conversation
71,CO-FA-*-*-*-*,CO,DE,Berater: Hallo lieber Florian,Formalities at the beginning/Opening of the conversation
72,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo lieber Johanna, super dass du hier bist.",Formalities at the beginning/Opening of the conversation
73,CO-FA-*-*-*-*,CO,DE,Berater: Hallo und danke für ihre Nachricht,Formalities at the beginning/Opening of the conversation
74,CO-FA-*-*-*-*,CO,DE,Berater: Hallo und herzlich willkommen!,Formalities at the beginning/Opening of the conversation
75,CO-FA-*-*-*-*,CO,DE,Berater: Hallo zusammen,Formalities at the beginning/Opening of the conversation
76,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo, ab heute sind wir für dich da",Formalities at the beginning/Opening of the conversation
77,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo, danke für deine Nachricht.",Formalities at the beginning/Opening of the conversation
78,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo, gut, dass Sie sich Unterstützung suchen",Formalities at the beginning/Opening of the conversation
79,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo, ich stelle mich kurz vor, ich bin Sophie und deine Braterin heute",Formalities at the beginning/Opening of the conversation
80,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo, mein Name ist Julia und ich bin heute für ihre Beratung zuständig",Formalities at the beginning/Opening of the conversation
81,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo, mein Name ist Lena und ich bin heute hier in diesem Chat Ihre Beraterin",Formalities at the beginning/Opening of the conversation
82,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo, schön dass du dich an unsere Beratungsstelle wendest",Formalities at the beginning/Opening of the conversation
83,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo, schön dass Sie den Mut haben sich Hilfe holen zu wollen",Formalities at the beginning/Opening of the conversation
84,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo, vielen Dank für deine Anfrage.",Formalities at the beginning/Opening of the conversation
85,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo, was kann ich für Sie tun?",Formalities at the beginning/Opening of the conversation
86,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo, welches Anliegen führt dich zu unserer Beratungsstelle?",Formalities at the beginning/Opening of the conversation
87,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo, wie kann ich sie heute unterstützen?",Formalities at the beginning/Opening of the conversation
88,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo, wie kann ich unterstützen?",Formalities at the beginning/Opening of the conversation
89,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo, willkommen bei der Chatberatung",Formalities at the beginning/Opening of the conversation
90,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo, willkommen bei der Chatberatung, waren sie schon einmal bei uns oder ist das ihr erstes mal?",Formalities at the beginning/Opening of the conversation
91,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo, willkommen im Forum.",Formalities at the beginning/Opening of the conversation
92,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo, wir haben jetzt einen Termin",Formalities at the beginning/Opening of the conversation
93,CO-FA-*-*-*-*,CO,DE,"Berater: Hallo, worum geht es heute ?",Formalities at the beginning/Opening of the conversation
94,CO-FA-*-*-*-*,CO,DE,Berater: Hallo! Schön dass du den Weg zu uns gefunden hast,Formalities at the beginning/Opening of the conversation
95,CO-FA-*-*-*-*,CO,DE,"Berater: Herzlich wilkommen und danke für dein Vertrauen, dich an uns zu wenden",Formalities at the beginning/Opening of the conversation
96,CO-FA-*-*-*-*,CO,DE,"Berater: Herzlich Willkommen und danke für deinen Mut, dir unterstützung zu holen",Formalities at the beginning/Opening of the conversation
97,CO-FA-*-*-*-*,CO,DE,Berater: Herzlich Willkommen! Ich bin Ihre Beraterin,Formalities at the beginning/Opening of the conversation
98,CO-FA-*-*-*-*,CO,DE,Berater: Hey,Formalities at the beginning/Opening of the conversation
99,CO-FA-*-*-*-*,CO,DE,Berater: Hey du,Formalities at the beginning/Opening of the conversation
100,CO-FA-*-*-*-*,CO,DE,Berater: Heyho,Formalities at the beginning/Opening of the conversation
101,CO-FA-*-*-*-*,CO,DE,Berater: Hi,Formalities at the beginning/Opening of the conversation
102,CO-FA-*-*-*-*,CO,DE,Berater: Hi Tim,Formalities at the beginning/Opening of the conversation
103,CO-FA-*-*-*-*,CO,DE,"Berater: Hoffe es ist okay, dass ich dir mal schreibe? Hab gelesen, dass du momentan wieder Suizidgedanken hast.",Formalities at the beginning/Opening of the conversation
